"ESPF_COD";"ESPF_ISSCAP";"ESPF_TAXON_COD";"ESPF_SCI_LIB";"ESPF_FRA_LIB";"ESPF_ENG_LIB";"ESPF_PARENT_COD";"ESPF_PARENT_SCI_LIB";"ESPF_PARENT_FRA_LIB";"IDENTIFIANT_TAXON_HARMONIE";"NOM_VALIDE";"FAMILLE";"ORDRE";"AUTEUR";"ESPF_ORIGINE"
"ANY";"11";"1400204701";"Anabarilius polylepis";"Anabarilius polylepis";;"FCY";"Cyprinidae";"Cyprinidés nca";;;;;;"FAO-ASFIS"
"ANZ";"34";"1610500301";"Aulotrachichthys novaezelandicus";"Aulotrachichthys novaezelandicus";;"TRC";"Trachichthyidae";"Poissons-montres nca";;;;;;"FAO-ASFIS"
"AOA";"13";"1431504901";"Achirophichthys kampeni";"Achirophichthys kampeni";"Freshwater snake-eel";"OWX";"Ophichthidae";"Serpentons nca";;;;;;"FAO-ASFIS"
"AOB";"33";"1431505101";"Bascanichthys bascanoides";"Bascanichthys bascanoides";"Sooty sand-eel";"OWX";"Ophichthidae";"Serpentons nca";;;;;;"FAO-ASFIS"
"AOC";"33";"1431504701";"Aplatophis chauliodus";"Serpenton dentu";"Fangtooth snake-eel";"OWX";"Ophichthidae";"Serpentons nca";"3289";"Aplatophis chauliodus";"Ophichthidae";"Anguilliformes";"Böhlke, 1956";"FAO-ASFIS"
"AOD";"33";"1431503701";"Dalophis obtusirostris";"Dalophis obtusirostris";;"OWX";"Ophichthidae";"Serpentons nca";;;;;;"FAO-ASFIS"
"AOE";"33";"1431504801";"Ahlia egmontis";"Ahlia egmontis";"Key worm eel";"OWX";"Ophichthidae";"Serpentons nca";;;;;;"FAO-ASFIS"
"AOF";"33";"1431502801";"Herpetoichthys fossatus";"Herpetoichthys fossatus";"Mustachioed snake-eel";"OWX";"Ophichthidae";"Serpentons nca";;;;;;"FAO-ASFIS"
"AOG";"33";"1431503101";"Gordiichthys irretitus";"Gordiichthys irretitus";"Horsehair eel";"OWX";"Ophichthidae";"Serpentons nca";;;;;;"FAO-ASFIS"
"AOH";"33";"1431502901";"Hemerorhinus opici";"Hemerorhinus opici";;"OWX";"Ophichthidae";"Serpentons nca";;;;;;"FAO-ASFIS"
